Movie,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate Followers
The Lazarus Effect,2015.0,5.2,Adventure,25800000.0,3300000.0,2666.0,1.0,7.0,4442147.0,10605.0,691.0,2739.0,2007000.0
Sinister 2,2015.0,5.5,Comedy,19000000.0,10000000.0,2766.0,2.0,-38.0,11037833.0,36874.0,1885.0,4360.0,5699.0
Ricki and the Flash,2015.0,6.1,Romance,23500000.0,18000000.0,1603.0,1.0,25.0,638374.0,4018.0,130.0,269.0,1887.0
Project Almanac,2015.0,6.4,Adventure,22300000.0,12000000.0,2893.0,1.0,7.0,6646785.0,16041.0,955.0,2787.0,253499.0
Hitman: Agent 47,2015.0,5.9,Adventure,16100000.0,35000000.0,3261.0,1.0,10.0,13154873.0,46684.0,3565.0,8578.0,209000.0
Dope,2015.0,7.5,Adventure,16800000.0,700000.0,2002.0,1.0,2.0,50444.0,238.0,3.0,28.0,986572.0
Hot Tub Time Machine 2,2015.0,5.1,Adventure,12300000.0,14000000.0,2880.0,2.0,9.0,11496.0,194.0,9.0,31.0,1891977.0
American Ultra,2015.0,6.5,Comedy,10900000.0,28000000.0,2778.0,1.0,21.0,2996539.0,1874.0,32.0,189.0,155000.0
The Gunman,2015.0,5.8,Adventure,10600000.0,40000000.0,2816.0,1.0,3.0,3098749.0,4311.0,341.0,881.0,1520000.0
Mortdecai,2015.0,5.5,Adventure,7610000.0,60000000.0,2648.0,1.0,-2.0,3850758.0,13363.0,453.0,1276.0,3045000.0
Blackhat,2015.0,5.4,Romance,7100000.0,70000000.0,2567.0,1.0,4.0,2409338.0,6923.0,340.0,714.0,1334000.0
Me and Earl and the Dying Girl,2015.0,8.2,Adventure,6740000.0,8000000.0,34.0,1.0,15.0,4032265.0,18398.0,302.0,1298.0,2208.0
Maggie,2015.0,5.6,Romance,131000.0,4500000.0,79.0,1.0,10.0,5085068.0,14359.0,600.0,2468.0,3744000.0
Americons,2015.0,7.3,Romance,129000.0,4000000.0,14.0,1.0,0.0,63724.0,115.0,28.0,14.0,129000.0
Road Hard,2015.0,6.3,Romance,106000.0,1500000.0,22.0,1.0,14.0,44963.0,109.0,27.0,42.0,1188000.0
Ant-Man,2015.0,7.8,Comedy,169000000.0,130000000.0,3856.0,1.0,18.0,9597644.0,32558.0,2672.0,8359.0,1052600.0
Southpaw,2015.0,7.7,Comedy,49500000.0,30000000.0,2772.0,1.0,6.0,11476882.0,40496.0,1383.0,4435.0,1052600.0
Ex Machina,2015.0,7.7,Romance,25400000.0,15000000.0,1255.0,1.0,3.0,419470.0,2218.0,46.0,239.0,1052600.0
The Man from U.N.C.L.E.,2015.0,7.6,Science Fiction,34600000.0,75000000.0,3638.0,1.0,8.0,5216680.0,20010.0,500.0,2300.0,1052600.0
Cinderella,2015.0,7.1,Adventure,201000000.0,95000000.0,3845.0,1.0,2.0,10164908.0,22726.0,4245.0,5262.0,1052600.0
Chappie,2015.0,7.0,Comedy,31600000.0,49000000.0,3201.0,1.0,8.0,7384182.0,23597.0,786.0,3481.0,1052600.0
Brotherly Love,2015.0,6.9,Adventure,444000.0,1900000.0,200.0,1.0,0.0,890619.0,6352.0,293.0,700.0,1052600.0
Run All Night,2015.0,6.6,Adventure,26400000.0,50000000.0,3171.0,1.0,3.0,5671767.0,10073.0,480.0,1712.0,1052600.0
The Second Best Exotic Marigold Hotel,2015.0,6.6,Comedy,33100000.0,10000000.0,1573.0,2.0,26.0,831044.0,2427.0,99.0,247.0,1052600.0
Child 44,2015.0,6.4,Thriller,1210000.0,50000000.0,66.0,1.0,4.0,3701061.0,9325.0,641.0,1859.0,1052600.0
Unfinished Business,2015.0,5.4,Adventure,10200000.0,35000000.0,2777.0,1.0,7.0,3450614.0,6823.0,325.0,409.0,1052600.0
War Room,2015.0,5.4,Comedy,12300000.0,3000000.0,2777.0,1.0,10.0,66872.0,400.0,67.0,201.0,1052600.0
